Nr.|Codice Fiscale|Importo contributo
1|02844190104|4444.8
2|91017210203|4412.8
3|90017530156|4739.2
4|02625140690|5769.6
5|01677510214|4416.0
6|00686950213|4889.6
7|98217210172|4883.2
8|98212280170|4720.0
9|98208050173|5356.8
10|98207820170|4409.6
11|98207440177|4672.0
12|98207350178|4601.6
13|98207290176|3608.0
14|98206760179|4224.0
15|98204700177|4675.2
16|98201810177|5564.8
17|98196930170|4572.8
18|98190960173|3784.0
19|98190700173|5235.2
20|98189890175|7667.2
21|98187450170|4982.4
22|98185880170|4892.8
23|98183450174|4486.4
24|98181420179|4736.0
25|98179890177|4992.0
26|98175070170|4512.0
27|98173860176|4588.8
28|98170070175|5033.6
29|98169980178|4521.6
30|98156920179|7782.4
31|98156110177|4915.2
32|98152350173|4460.8
33|98138430784|2024.0
34|98138050780|4499.2
35|98135930174|6649.6
36|98135620783|4451.2
37|98130890787|4563.2
38|98130610789|4611.2
39|98130250784|3784.0
40|98127810780|2640.0
41|98127690786|4432.0
42|98126510787|4624.0
43|98124290788|2024.0
44|98123850178|5779.2
45|98123120788|4812.8
46|98122270782|3080.0
47|98119460784|4467.2
48|98118990781|5017.6
49|98115100780|4713.6
50|98108190780|4569.6
51|98106170784|4435.2
52|98105130789|2728.0
53|98104860782|4428.8
54|98104740786|4838.4
55|98102340787|4604.8
56|98101580789|4576.0
57|98096660786|4534.4
58|98091060784|4476.8
59|98089730786|4841.6
60|98084770787|4627.2
61|98084420789|3256.0
62|98083340780|4489.6
63|98075790786|4784.0
64|98074050786|4681.6
65|98072290178|4838.4
66|98068290174|4540.8
67|98065520789|1760.0
68|98063500783|2464.0
69|98045050782|4684.8
70|98036770786|2464.0
71|98029720178|5776.0
72|98025480785|4553.6
73|98017930177|6656.0
74|98016410171|5808.0
75|98014530178|5465.6
76|98012410175|6758.4
77|98009610787|13964.8
78|98002870784|12352.0
79|97999800580|4572.8
80|97999680586|4512.0
81|97997650581|4515.2
82|97989690587|4515.2
83|97989080581|4899.2
84|97987710585|4636.8
85|97986690580|4432.0
86|97986250583|5110.4
87|97986080584|4726.4
88|97984140588|5216.0
89|97983220589|4812.8
90|97983010584|5059.2
91|97982970580|4630.4
92|97982930584|5024.0
93|97981380583|4761.6
94|97981010586|4460.8
95|97970120586|4486.4
96|97966160588|4944.0
97|97964120584|4464.0
98|97963100587|4521.6
99|97962010589|4406.4
100|97961820582|4412.8
101|97961020589|5683.2
102|97959100583|4467.2
103|97953120587|4441.6
104|97950400586|4422.4
105|97948170580|4444.8
106|97946270580|4665.6
107|97946200587|4422.4
108|97945280580|4601.6
109|97943110581|5024.0
110|97941420586|4531.2
111|97940610583|5161.6
112|97939250581|4819.2
113|97935620589|4473.6
114|97934310588|4403.2
115|97930510157|5446.4
116|97930360587|2640.0
117|97930160581|4441.6
118|97929990584|5641.6
119|97928800586|5062.4
120|97924420587|4636.8
121|97922320581|4416.0
122|97918160587|4416.0
123|97915730580|2904.0
124|97914990581|4640.0
125|97913990582|9740.8
126|97913650582|6108.8
127|97911190581|4585.6
128|97907720581|4412.8
129|97904650583|4844.8
130|97903540157|4048.0
131|97902360581|5619.2
132|97901370581|6137.6
133|97898380585|4787.2
134|97896520588|4668.8
135|97894520580|4480.0
136|97894270582|2816.0
137|97890690585|3960.0
138|97888720584|4592.0
139|97885200580|4406.4
140|97884680154|4537.6
141|97882810019|4592.0
142|97880910589|2200.0
143|97880110586|4649.6
144|97879620587|4764.8
145|97879450589|5568.0
146|97872330150|4521.6
147|97870810013|4694.4
148|97870710015|4505.6
149|97865290585|4489.6
150|97864000589|4739.2
151|97863590580|6396.8
152|97861930580|3168.0
153|97858930015|4483.2
154|97858770585|5347.2
155|97857730580|4905.6
156|97857610584|5219.2
157|97857060582|4489.6
158|97856850157|4403.2
159|97855930018|6700.8
160|97854270580|4560.0
161|97854160583|6000.0
162|97853730154|4432.0
163|97852670583|5276.8
164|97851690582|5244.8
165|97851010153|4988.8
166|97850770583|4832.0
167|97850350584|4806.4
168|97849500158|4470.4
169|97849480583|4444.8
170|97847630015|4572.8
171|97847620016|4752.0
172|97847030588|5020.8
173|97847030158|5916.8
174|97846660583|4048.0
175|97845290150|6387.2
176|97844060588|2112.0
177|97841450014|5078.4
178|97839300155|5280.0
179|97837390588|4512.0
180|97835210010|3344.0
181|97834090017|4729.6
182|97832020586|4819.2
183|97828590584|5024.0
184|97825580018|4435.2
185|97824390153|4681.6
186|97824240010|4732.8
187|97823850157|4425.6
188|97822850018|4595.2
189|97822520157|4496.0
190|97822440158|5475.2
191|97820540157|4422.4
192|97820080584|5334.4
193|97816780585|4592.0
194|97814410011|5196.8
195|97813220585|5616.0
196|97811330584|7219.2
197|97810490587|9216.0
198|97810440582|4665.6
199|97810060018|4480.0
200|97809160589|5228.8
201|97809010586|4553.6
202|97808110015|4518.4
203|97806360588|4435.2
204|97803510581|4870.4
205|97803040019|1936.0
206|97800690014|4777.6
207|97799620584|4419.2
208|97799530585|4713.6
209|97797720154|4448.0
210|97797400153|6419.2
211|97796500581|4736.0
212|97796060586|4572.8
213|97792030583|4972.8
214|97787180153|4489.6
215|97787010582|4656.0
216|97782960583|4611.2
217|97781990151|6406.4
218|97781750589|4425.6
219|97779230016|4560.0
220|97778460580|5116.8
221|97778260014|7107.2
222|97776340586|3608.0
223|97776190585|4048.0
224|97769680014|4832.0
225|97768400588|5120.0
226|97767510585|5180.8
227|97766520585|4870.4
228|97763430580|4934.4
229|97762510010|4681.6
230|97762360010|5817.6
231|97762330583|2640.0
232|97761220157|1848.0
233|97761140587|6329.6
234|97759660018|4806.4
235|97759140581|4748.8
236|97758680157|4528.0
237|97757120155|4467.2
238|97757080011|4604.8
239|97757010588|5052.8
240|97754710016|5331.2
241|97752170155|4576.0
242|97752020582|4803.2
243|97751070588|5379.2
244|97749680159|4592.0
245|97749490153|5203.2
246|97748600588|4409.6
247|97747800585|2816.0
248|97746790589|3432.0
249|97746530589|4800.0
250|97744920154|4688.0
251|97744870581|4563.2
252|97744410016|7248.0
253|97742600014|8832.0
254|97740910019|3256.0
255|97739430581|4489.6
256|97736750585|5084.8
257|97735570018|4438.4
258|97735090587|6416.0
259|97729120150|4630.4
260|97725790584|5088.0
261|97725230011|2728.0
262|97722300155|4444.8
263|97719940583|5033.6
264|97719690154|6025.6
265|97718650019|4643.2
266|97718580158|4710.4
267|97716860586|5187.2
268|97716500588|3344.0
269|97716260159|5084.8
270|97716130154|4544.0
271|97715910010|4851.2
272|97714820012|6019.2
273|97714040587|4312.0
274|97711560157|4787.2
275|97710570587|4979.2
276|97710330586|4409.6
277|97709930016|5436.8
278|97709680157|3168.0
279|97706460017|4563.2
280|97705840581|4633.6
281|97704500152|2904.0
282|97703680013|4755.2
283|97702730017|6336.0
284|97702070588|4876.8
285|97700800580|4588.8
286|97698270150|4528.0
287|97697240014|4560.0
288|97696600150|3784.0
289|97696470588|4937.6
290|97694590155|5264.0
291|97691780015|4867.2
292|97691330589|4870.4
293|97689310155|3080.0
294|97685440014|12252.8
295|97682510017|5056.0
296|97681700015|4409.6
297|97681020588|4512.0
298|97678740016|4531.2
299|97677860583|4608.0
300|97677120582|4614.4
301|97676990589|2816.0
302|97673040156|4444.8
303|97670930581|4640.0
304|97668270586|4995.2
305|97668250588|4908.8
306|97667780155|4774.4
307|97667710582|5161.6
308|97667530584|4425.6
309|97666910589|4544.0
310|97665830150|5404.8
311|97665240582|4675.2
312|97664980014|4672.0
313|97664750581|4476.8
314|97663720585|4624.0
315|97663630016|5632.0
316|97662780010|4809.6
317|97659130153|5136.0
318|97658360587|4531.2
319|97657310583|4851.2
320|97650430016|5894.4
321|97646550588|3696.0
322|97645380011|4908.8
323|97640000010|5360.0
324|97637150158|4409.6
325|97634830158|5436.8
326|97634590588|4432.0
327|97634390013|5171.2
328|97629940012|4617.6
329|97627640580|4136.0
330|97627390152|4707.2
331|97626450585|4656.0
332|97626050013|6060.8
333|97625340589|6838.4
334|97621590583|4812.8
335|97618110585|4531.2
336|97616940157|5836.8
337|97605780150|4499.2
338|97605320585|4560.0
339|97604830014|4563.2
340|97603160587|4812.8
341|97602580157|6726.4
342|97602330587|5708.8
343|97601520014|5456.0
344|97600680157|5196.8
345|97599640584|6588.8
346|97597890157|6604.8
347|97596650586|4700.8
348|97595720588|4476.8
349|97595550589|3696.0
350|97590060014|6380.8
351|97586610582|5142.4
352|97586090587|6566.4
353|97583690017|5024.0
354|97583080011|11881.6
355|97577990589|4508.8
356|97577240019|4796.8
357|97576660589|5145.6
358|97576270017|4995.2
359|97575660580|5072.0
360|97575590589|4592.0
361|97572950588|5420.8
362|97570520011|5088.0
363|97569340157|4409.6
